operation, active cores, seconds, nanoseconds, bytes, iterations, budget
write, 0, 0, 1307561, 131072, 8192, 40
write, 0, 0, 1307561, 131072, 8192, 40
write, 0, 0, 1313622, 131072, 8192, 40
write, 0, 0, 1307541, 131072, 8192, 40
write, 0, 0, 1307571, 131072, 8192, 40
write, 0, 0, 1313722, 131072, 8192, 40
write, 0, 0, 1307561, 131072, 8192, 40
write, 0, 0, 1307561, 131072, 8192, 40
write, 0, 0, 1319172, 131072, 8192, 40
write, 0, 0, 1307581, 131072, 8192, 40
write, 0, 0, 1307561, 131072, 8192, 40
write, 0, 0, 1314111, 131072, 8192, 40
write, 0, 0, 1307551, 131072, 8192, 40
write, 0, 0, 1307561, 131072, 8192, 40
write, 0, 0, 1313421, 131072, 8192, 40
write, 1, 0, 1317972, 131072, 8192, 40
write, 1, 0, 1320732, 131072, 8192, 40
write, 1, 0, 1307571, 131072, 8192, 40
write, 1, 0, 1307561, 131072, 8192, 40
write, 1, 0, 1314562, 131072, 8192, 40
write, 1, 0, 1307551, 131072, 8192, 40
write, 1, 0, 1307571, 131072, 8192, 40
write, 1, 0, 1323112, 131072, 8192, 40
write, 1, 0, 1307581, 131072, 8192, 40
write, 1, 0, 1307571, 131072, 8192, 40
write, 1, 0, 1313761, 131072, 8192, 40
write, 1, 0, 1307570, 131072, 8192, 40
write, 1, 0, 1307571, 131072, 8192, 40
write, 1, 0, 1312821, 131072, 8192, 40
write, 1, 0, 1307561, 131072, 8192, 40
write, 1, 0, 1307570, 131072, 8192, 40
write, 1, 0, 1312821, 131072, 8192, 40
write, 1, 0, 1307571, 131072, 8192, 40
write, 1, 0, 1307571, 131072, 8192, 40
write, 1, 0, 1312772, 131072, 8192, 40
write, 1, 0, 1307551, 131072, 8192, 40
write, 1, 0, 1307571, 131072, 8192, 40
write, 1, 0, 1312291, 131072, 8192, 40
write, 1, 0, 1307560, 131072, 8192, 40
write, 1, 0, 1307581, 131072, 8192, 40
write, 1, 0, 1312241, 131072, 8192, 40
write, 1, 0, 1307561, 131072, 8192, 40
write, 1, 0, 1307571, 131072, 8192, 40
write, 1, 0, 1312241, 131072, 8192, 40
write, 1, 0, 1307581, 131072, 8192, 40
write, 1, 0, 1307581, 131072, 8192, 40
write, 1, 0, 1312151, 131072, 8192, 40
write, 1, 0, 1307550, 131072, 8192, 40
write, 1, 0, 1307571, 131072, 8192, 40
write, 1, 0, 1307571, 131072, 8192, 40
write, 1, 0, 1312241, 131072, 8192, 40
write, 1, 0, 1307580, 131072, 8192, 40
write, 1, 0, 1307570, 131072, 8192, 40
write, 1, 0, 1312251, 131072, 8192, 40
write, 1, 0, 1307561, 131072, 8192, 40
write, 1, 0, 1307561, 131072, 8192, 40
write, 1, 0, 1312192, 131072, 8192, 40
write, 1, 0, 1307571, 131072, 8192, 40
write, 1, 0, 1307571, 131072, 8192, 40
write, 1, 0, 1312201, 131072, 8192, 40
write, 1, 0, 1307550, 131072, 8192, 40
write, 1, 0, 1307570, 131072, 8192, 40
write, 1, 0, 1312261, 131072, 8192, 40
write, 1, 0, 1307561, 131072, 8192, 40
write, 1, 0, 1307571, 131072, 8192, 40
write, 1, 0, 1312221, 131072, 8192, 40
write, 1, 0, 1307571, 131072, 8192, 40
write, 1, 0, 1307571, 131072, 8192, 40
write, 1, 0, 1312211, 131072, 8192, 40
write, 1, 0, 1307560, 131072, 8192, 40
write, 1, 0, 1307571, 131072, 8192, 40
write, 1, 0, 1312191, 131072, 8192, 40
write, 1, 0, 1307561, 131072, 8192, 40
write, 1, 0, 1307580, 131072, 8192, 40
write, 1, 0, 1312191, 131072, 8192, 40
write, 1, 0, 1307571, 131072, 8192, 40
write, 1, 0, 1307581, 131072, 8192, 40
write, 1, 0, 1312142, 131072, 8192, 40
write, 1, 0, 1307561, 131072, 8192, 40
write, 1, 0, 1307561, 131072, 8192, 40
write, 1, 0, 1438074, 131072, 8192, 40
write, 1, 0, 1307541, 131072, 8192, 40
write, 1, 0, 1307571, 131072, 8192, 40
write, 1, 0, 1314432, 131072, 8192, 40
write, 1, 0, 1383398, 131072, 8192, 40
write, 1, 0, 1307541, 131072, 8192, 40
write, 1, 0, 1348955, 131072, 8192, 40
write, 1, 0, 1307531, 131072, 8192, 40
write, 1, 0, 1307561, 131072, 8192, 40
write, 1, 0, 1314102, 131072, 8192, 40
write, 1, 0, 1307571, 131072, 8192, 40
write, 1, 0, 1307571, 131072, 8192, 40
write, 1, 0, 1312592, 131072, 8192, 40
write, 1, 0, 1307551, 131072, 8192, 40
write, 1, 0, 1307571, 131072, 8192, 40
write, 1, 0, 1312241, 131072, 8192, 40
write, 1, 0, 1307561, 131072, 8192, 40
write, 1, 0, 1307560, 131072, 8192, 40
write, 1, 0, 1312191, 131072, 8192, 40
write, 1, 0, 1307571, 131072, 8192, 40
write, 1, 0, 1307581, 131072, 8192, 40
write, 1, 0, 1318012, 131072, 8192, 40
write, 1, 0, 1307561, 131072, 8192, 40
write, 1, 0, 1307560, 131072, 8192, 40
write, 1, 0, 1312831, 131072, 8192, 40
write, 1, 0, 1307571, 131072, 8192, 40
write, 1, 0, 1307581, 131072, 8192, 40
write, 1, 0, 1312302, 131072, 8192, 40
